AB009663	Cosmopolitan_B1.1.1
MK760714	Cosmopolitan ME2_A1.1
MK760717	Cosmopolitan ME2_A1.1
MK760718	Cosmopolitan ME2_A1.1
MK760720	Cosmopolitan ME1a_A1.1.1
MK760724	Cosmopolitan ME1a_A1.1
MK760736	Cosmopolitan ME1a_A1.1
MK920923	Bats_A1
MN233903	Arctic A_E1
MN233904	Arctic A_E1.1.1
MN233905	Arctic A_E1.1.1
MN233906	Arctic A_C1
MN233907	Arctic A_C1
MN233908	Arctic A_C1
MN233909	Arctic A_C1
MN233910	Arctic A_A1.1.1
MN233911	Arctic A_C1
MN233912	Arctic A_A1.1.1
MN233913	Arctic A_A1.1.2
MN233914	Arctic A_A1.1.2
MN233915	Arctic A_E1
MN233916	Arctic A_E1
MN233917	Arctic A_E1
MN233918	Arctic A_E1
MN233922	Arctic A_E1.2
MN233924	Arctic A_E1.1.1
MN233925	Arctic A_E1.1.2
MN233926	Arctic A_E1.1.1
MN233927	Arctic A_E1.1.2
MN233937	Arctic A_F1
MN233938	Arctic A_F1
MN233939	Arctic A_F1
MN233947	Arctic A_A1.1
MN233948	Arctic A_A1.1.1
MN233949	Arctic A_A1.1.2
MN233951	Arctic A_A1.1.1
MN233952	Arctic A_A1.1
MN233955	Arctic A_A1.1
MN233958	Arctic A_A1.1
MN233959	Arctic A_A1.1
MN233960	Arctic A_C1.1
MN233961	Arctic A_C1.1
MN233962	Arctic A_C1.1.1
MN233963	Arctic A_C1.1.1
MN233968	Arctic A_A1.4
MN233969	Arctic A_A1.4
MN233970	Arctic A_A1.4
MN233971	Arctic A_A1.4
MN233974	Arctic A_C1.1
MN233975	Arctic A_C1.1
MN233976	Arctic A_C1.1.1
MN233978	Arctic A_E1.2
MN233982	Arctic A_C1.1.1
MN234023	Arctic A_E1.2
MN234024	Arctic A_E1.2
MN234031	Arctic A_C1.1.1
MN418142	RAC-SK_B1.1.1
MN534894	Indian-Sub_A1
MN726836	Asian SEA4_A1.1
MN726837	Asian SEA4_A1.1.2
MN726839	Asian SEA4_A1.1.2
MN726840	Asian SEA4_A1.1
MN726842	Asian SEA4_A1.2
MN726843	Asian SEA4_A1.1
MN726845	Asian SEA4_A1.2
MN726848	Asian SEA4_A1.1.2
MN726850	Asian SEA4_A1.2
MN726852	Asian SEA4_A1.2
MN726854	Asian SEA4_A1.1.2
MN726858	Asian SEA4_A1.1
MN726862	Asian SEA4_A1.1
MT107888	Africa-2_A1.2
MT454631	Cosmopolitan_C1.1
MT454634	Cosmopolitan_C1.1
MT454635	Cosmopolitan_C1.1
MT454636	Cosmopolitan_C1.1
MW057694	Africa-2_A1.3
MW057695	Africa-2_A1.2
MW177593	Cosmopolitan NEE_C1.1.1
MW177595	Cosmopolitan NEE_D1
MW506937	Bats DR_A1.5
MW506938	Bats DR_A1.4
MW506939	Bats DR_A1.4
MW506940	Bats DR_A1.4
MW579777	Bats DR_A1.1
MW579778	Bats DR_A1.1
MW579779	Bats DR_A1.5
MW579780	Bats DR_K1
MW579781	Bats DR_A1.1
MW579782	Bats DR_A1.1
MW579783	Bats DR_A1.1
MW579785	Bats DR_K1
MW579787	Bats DR_C1
MW579790	Bats DR_C1
MW579792	Bats DR_M1
MW579794	Bats DR_C1
MW579795	Bats DR_M1
MW579796	Bats DR_C1
MW579797	Bats DR_C1
MW579799	Bats DR_M1
MW579803	Bats DR_M1
MW579804	Bats DR_K1
MW579806	Bats DR_A1.1.7
MW579808	Bats DR_M1
MW579813	Bats DR_A1.5
MW579814	Bats DR_K1
MW579817	Bats DR_K1
MW579836	Bats DR_A1.5
MZ076690	Indian-Sub_A1.1
MZ076691	Indian-Sub_A1.1
MZ494188	Bats EF-E2_A1
OK135144	Africa-2_A1.2
OK340700	Bats EF-E1_A1
OK340701	Bats EF-E1_A1
OK340702	Bats EF-E1_A1
OK340703	Bats LC_A1
OL422907	Arctic AL1a_A1.1
OL422909	Arctic AL1a_A1.1
OL449093	Cosmopolitan NEE_C1.1.1
OL449095	Cosmopolitan NEE_C1.1.1
OL515134	Cosmopolitan NEE_C1.1.1
OL515135	Cosmopolitan NEE_C1.1.1
OL515141	Cosmopolitan NEE_C1.1
OM202982	Bats LN_A1
OM202983	Bats LN_A1
OM863568	Arctic_A1.1
OM971001	Bats TB1_A1
OM971002	Bats TB1_A1
ON630441	Bats DR_E1
ON630442	Bats DR_E1.2.1
ON630443	Bats DR_E1
ON630445	Bats DR_E1
ON630446	Bats DR_E1
ON630447	Bats DR_E1
ON630452	Bats DR_A1.1.9
ON630457	Bats DR_A1.1.5
ON630458	Bats DR_E1.2
ON630463	Bats DR_E1.2
ON630464	Bats DR_E1.2
ON630465	Bats DR_E1.2
ON630466	Bats DR_E1.2
ON630484	Bats DR_E1.2.1
ON630488	Bats DR_E1.2.1
ON630490	Bats DR_E1.2.1
ON630491	Bats DR_E1.2.1
ON630577	Bats DR_A1.1.9
ON630600	Bats DR_F1
ON630604	Bats DR_F1
ON630610	Bats DR_A1.1.9
ON630613	Bats DR_A1.1.9
ON630615	Bats DR_F1
ON630619	Bats DR_F1.1
ON630620	Bats DR_F1.1
ON630623	Bats DR_F1.1
ON630624	Bats DR_F1.1
ON630625	Bats DR_F1.1
ON630632	Bats DR_F1
ON630637	Bats DR_F1
ON630668	Bats DR_A1.1.10
ON630677	Bats DR_A1.1.5
ON630678	Bats DR_A1.1.9
ON630680	Bats DR_A1.1.10
ON630681	Bats DR_A1.1.5
ON630689	Bats DR_A1.1.5
ON630742	Bats DR_A1.1.10
ON630749	Bats DR_A1.1.10
ON814542	Arctic_A1.1
ON986427	RAC-SK_M1.1.1
ON986429	RAC-SK_M1.1
ON986433	RAC-SK_M1.1.1
ON986435	RAC-SK_M1.1.1
ON986442	RAC-SK_M1.1.1
ON986444	RAC-SK_M1.1.1
ON986455	RAC-SK_M1.1
ON986458	RAC-SK_M1.1
ON986464	RAC-SK_M1.1
ON986467	RAC-SK_M1.1
OP007154	Bats_A1
OP007156	Bats LN_A1
OP007157	Bats DR_A1.1.2
OP007158	Bats LN_A1
OP007159	Bats DR_A1.1.12
OP375408	Cosmopolitan AF1b_C1.1
OP375409	Cosmopolitan_H1.4
OP375411	Cosmopolitan AF1b_C1.1
OP375413	Cosmopolitan AF1b_C1.1
OP375417	Cosmopolitan AF1b_C1.1
OP375418	Cosmopolitan AF1b_C1.1
OP375421	Cosmopolitan AF1b_B1.2.1
OP375424	Cosmopolitan AF1b_B1.2.1
OP477373	Cosmopolitan ME2_C1
OP477375	Cosmopolitan ME2_C1
OP477376	Cosmopolitan ME2_C1
OP477381	Cosmopolitan ME2_C1
OP477382	Cosmopolitan ME2_C1
OP515147	Asian SEA3_D1
OP515148	Asian SEA3_C1.1
OP515150	Asian SEA3_D1.1
OP515151	Asian SEA3_D1.1
OP515153	Asian SEA3_A1.1.1
OP515154	Asian SEA3_D1.1
OP515155	Asian SEA3_D1.1
OP515156	Asian SEA3_D1
OP515158	Asian SEA3_A1.1.1
OP515159	Asian SEA3_A1.1.1
OP515160	Asian SEA3_C1.1
OP515161	Asian SEA3_D1
OP515162	Asian SEA3_A1.1.1
OP515163	Asian SEA3_C1.1
OP515164	Asian SEA3_D1.1
OP515165	Asian SEA3_C1.1
OP515167	Asian SEA3_A1.1.1
OP515180	Asian SEA3_C1.1
OP515184	Asian SEA3_D1
OP515202	Asian SEA3_D1
OP515216	Asian SEA3_C1.1.1
OP515237	Asian SEA3_C1.1.1
OP515247	Asian SEA3_C1.1.1
OP515248	Asian SEA3_C1.1.1
OP515281	Asian SEA3_C1.1.1
OP765631	Arctic AL1a_A1.1
OP765633	Arctic AL1a_A1.1
OP765638	Arctic AL1a_A1.1
OP765639	Arctic AL1a_A1.1.1
OQ410145	Bats LN_A1
OQ473645	Asian SEA5_A1.3
OR256801	Cosmopolitan AF1b_A1.1.3
OR270967	Cosmopolitan AF1b_A1.1
OR270968	Cosmopolitan AF1b_D1
OR270970	Cosmopolitan AF1b_D1
OR270971	Cosmopolitan AF1b_D1
OR270976	Cosmopolitan AF1a_A1.1.1
OR270980	Cosmopolitan AF1b_D1
OR270986	Cosmopolitan AF1b_A1.1.3
OR270987	Cosmopolitan AF1b_A1.1.3
OR270992	Cosmopolitan AF1b_A1.1.3
OR270998	Cosmopolitan AF1b_D1
OR271008	Cosmopolitan AF1b_A1.1.3
OR271025	Cosmopolitan AF1a_A1.1.1
OR271027	Cosmopolitan AF1a_C1.1
OR271028	Cosmopolitan AF1a_A1.1.1
OR271029	Cosmopolitan AF1a_A1.1.1
OR271030	Cosmopolitan AF1a_C1.1
OR271034	Cosmopolitan AF1a_A1.1.1
OR271035	Cosmopolitan AF1a_C1.1
OR271039	Cosmopolitan AF1a_C1.1
OR271041	Cosmopolitan AF1a_C1.1
OR271051	Cosmopolitan AF1a_C1
OR271053	Cosmopolitan AF1a_C1
OR271057	Cosmopolitan AF1a_C1
OR271058	Cosmopolitan AF1a_C1
OR338639	Cosmopolitan AF1a_C1
OR400520	Asian SEA1b_C1
OU524413	Bats DR_A1.5
OU524425	Bats EF-E1_A1
OV696602	Asian SEA5_A1.3
PP386031	Bats EF-W1_A1
PP447339	Bats TB1_A1.1
PP516875	Arctic AL1a_A1.1.1
PP760425	Cosmopolitan CA1_B1.2
