AB012070.1	𝜷.1
JN258346.1	𝜷.2.1
HQ392437.1	𝜷.2.1
JF490803.1	𝜷.2.1
JN706248.1	𝜷.2.1
GQ996875.1	𝜷.2.1
KX363022.1	𝜷.2.1
JF968583.1	𝜷.2.1
KP882560.1	𝜷.2.1
LC172314.1	𝜷.2.1
MT854434.1	𝜷.2.1
JN232044.1	𝜷.2.1
JN129116.1	𝜷.2.1
MF161949.1	𝜷.2.1
EF179187.1	𝜷.2.1
KX638542.1	𝜷.2.1
MZ097129.1	𝜷.2.1
JN129120.1	𝜷.2.1
JN706209.1	𝜷.2.1
GQ996842.1	𝜷.2.1
MK852667.1	𝜷.2.1
EF079067.1	𝜷.2.1
KP752676.1	𝜷.2.1
OR205717.1	𝜷.2.1
EF088834.1	𝜷.2.1
KU861450.1	𝜷.2.1
MN478521.1	𝜷.2.1
JN591404.1	𝜷.2.1
JF968570.1	𝜷.2.1
MZ095108.1	𝜷.2.1
MN304728.1	𝜷.2.1
KT248550.1	𝜷.2.1
MT855171.1	𝜷.2.1
JQ069536.1	𝜷.2.1
KX363110.1	𝜷.2.1
MN067085.1	𝜷.2.1
MG652312.1	𝜷.2.1
MN478595.1	𝜷.2.1
JN706224.1	𝜷.2.1
KJ560454.1	𝜷.2.1
GU288623.1	𝜷.2.1
HM998613.1	𝜷.2.1
MN478524.1	𝜷.2.1
AF480293.1	𝜷.2.1
MZ094561.1	𝜷.2.1
MF161928.1	𝜷.2.1
HQ650881.1	𝜷.2.1
LC465268.1	𝜷.2.1
JN232048.1	𝜷.2.1
JF490517.1	𝜷.2.1
MT854995.1	𝜷.2.1
MT737567.1	𝜷.2.1
KT007673.1	𝜷.2.1
MT854808.1	𝜷.2.1
MK829383.1	𝜷.2.1
AF043681.1	𝜷.2.1
LC465301.1	𝜷.2.1
KJ752502.1	𝜷.2.1
DQ674927.1	𝜷.2.1
JX027850.1	𝜷.2.1
OQ789846.1	𝜷.2.1
OR205726.1	𝜷.2.1
JX027917.1	𝜷.2.1
JN232051.1	𝜷.2.1
LC172282.1	𝜷.2.1
OQ789851.1	𝜷.2.1
EF690708.1	𝜷.2.1
KF723268.1	𝜷.2.1
HQ650879.1	𝜷.2.1
GU358433.1	𝜷.2.1
HQ537522.2	𝜷.2.1
JN258846.1	𝜷.2.1
KC579558.1	𝜷.2.1
KP735840.1	𝜷.2.1
JF490330.1	𝜷.2.1
HQ425261.1	𝜷.2.1
MT854368.1	𝜷.2.1
KT007760.1	𝜷.2.1
MT854753.1	𝜷.2.1
KT223454.1	𝜷.2.1
MF161833.1	𝜷.2.1
HQ392250.1	𝜷.2.1
MK560886.1	𝜷.2.1
JN258908.1	𝜷.2.1
MG181397.1	𝜷.2.1
KP882692.1	𝜷.2.1
MN632750.1	𝜷.2.1
MT737582.1	𝜷.2.1
MZ094998.1	𝜷.2.1
MF161842.1	𝜷.2.1
MZ095273.1	𝜷.2.1
OR205713.1	𝜷.2.1
KJ919843.1	𝜷.2.1
GU985243.1	𝜷.2.1
KP882494.1	𝜷.2.1
GU985240.1	𝜷.2.1
ON184079.1	𝜷.2.1
KJ751718.1	𝜷.2.1
HQ738576.1	𝜷.2.1
GU723395.1	𝜷.2.1
KX363141.1	𝜷.2.1
DQ674863.1	𝜷.2.1
ON500511.1	𝜷.2.1
GQ229042.1	𝜷.2.1
MK829363.1	𝜷.2.1
GQ996870.1	𝜷.2.1
FJ948835.1	𝜷.2.1
KT007645.1	𝜷.2.1
MG181463.1	𝜷.2.1
KP882747.1	𝜷.2.1
KX638551.1	𝜷.2.1
MZ094834.1	𝜷.2.1
LC172302.1	𝜷.2.1
KJ751740.1	𝜷.2.1
OR205720.1	𝜷.2.1
OP850518.1	𝜷.2.1
KC443317.1	𝜷.2.1
DQ674880.1	𝜷.2.1
GU723362.1	𝜷.2.1
MN552139.1	𝜷.2.1
JN706254.1	𝜷.2.1
KU973945.1	𝜷.2.1
AY631054.1	𝜷.2.1
JN129113.1	𝜷.2.1
GU723366.1	𝜷.2.1
DQ512996.1	𝜷.2.1
JN232066.1	𝜷.2.1
D17718.1	𝜷.2.1
JQ069483.1	𝜷.2.1
KX363000.1	𝜷.2.1
KY634658.1	𝜷.2.1
MZ027423.1	𝜷.2.1
KC580068.1	𝜷.2.1
GQ996853.1	𝜷.2.1
KM977712.1	𝜷.2.1
MK829360.1	𝜷.2.1
MT854742.1	𝜷.2.1
GU723364.1	𝜷.2.1
JN192064.1	𝜷.2.1
DQ236056.1	𝜷.2.1
D17722.1	𝜷.2.1
JF968580.1	𝜷.2.1
MK829343.1	𝜷.2.1
GU358444.1	𝜷.2.1
JQ069498.1	𝜷.2.1
OR205718.1	𝜷.2.1
KY634566.1	𝜷.2.1
LC172402.1	𝜷.2.1
MG181386.1	𝜷.2.1
EF199712.1	𝜷.2.1
EU839906.1	𝜷.2.1
MZ097085.1	𝜷.2.1
FJ348348.1	𝜷.2.1
EF690729.1	𝜷.2.1
GU377135.2	𝜷.2.1
JN232072.1	𝜷.2.1
MH291289.1	𝜷.2.1
OR205708.1	𝜷.2.1
LC105000.1	𝜷.2.1
KX363152.1	𝜷.2.1
KX362771.1	𝜷.2.1
AY098668.1	𝜷.2.1
JF490406.1	𝜷.2.1
JF490659.1	𝜷.2.1
DQ674862.1	𝜷.2.1
DQ674930.1	𝜷.2.1
GU358424.1	𝜷.2.1
EU839912.1	𝜷.2.1
JF490883.1	𝜷.2.1
DQ674911.1	𝜷.2.1
MT854489.1	𝜷.2.1
KX009881.1	𝜷.2.1
MT737583.1	𝜷.2.1
MT737570.1	𝜷.2.1
JQ069512.1	𝜷.2.1
JF968574.1	𝜷.2.1
KP882010.1	𝜷.2.1
U26387.1	𝜷.2.1
MT737564.1	𝜷.2.1
MF161891.1	𝜷.2.1
HM773796.1	𝜷.2.1
U26379.1	𝜷.2.1
DQ236051.1	𝜷.2.1
AB605602.1	𝜷.2.1
EF690750.1	𝜷.2.1
JF490923.1	𝜷.2.1
OK245380.1	𝜷.2.1
MK050141.1	𝜷.2.1
MK852651.1	𝜷.2.1
JN706219.1	𝜷.2.1
KX638547.1	𝜷.2.1
KJ560455.1	𝜷.2.1
OR205742.1	𝜷.2.1
JF968591.1	𝜷.2.1
DQ236070.1	𝜷.2.1
MF161875.1	𝜷.2.1
ON855111.1	𝜷.2.1
JN232065.1	𝜷.2.1
MH094756.1	𝜷.2.1
OQ815912.1	𝜷.2.1
JN258813.1	𝜷.2.1
KC579624.1	𝜷.2.1
MT737578.1	𝜷.2.1
KJ752808.1	𝜷.2.1
JQ069478.1	𝜷.2.1
AF043680.1	𝜷.2.1
KT007728.1	𝜷.2.1
OR205707.1	𝜷.2.1
MG181507.1	𝜷.2.1
MK852654.1	𝜷.2.1
JN869256.1	𝜷.2.1
GU985236.1	𝜷.2.1
MK829340.1	𝜷.2.1
AF480292.1	𝜷.2.1
MZ095425.1	𝜷.2.1
OR205692.1	𝜷.2.1
JF490121.1	𝜷.2.1
FJ948844.1	𝜷.2.1
JF490110.1	𝜷.2.1
OQ789865.1	𝜷.2.1
MT855149.1	𝜷.2.1
KC580340.1	𝜷.2.1
AF501579.1	𝜷.2.1
MZ095031.1	𝜷.2.1
JX027895.1	𝜷.2.1
GQ996838.1	𝜷.2.1
KX638552.1	𝜷.2.1
LC056817.1	𝜷.2.1
JN706268.1	𝜷.2.1
LC086763.1	𝜷.2.1
KT695043.1	𝜷.2.1
AF480284.1	𝜷.2.1
GU723348.1	𝜷.2.1
KC580047.1	𝜷.2.1
KP645261.1	𝜷.2.1
JN706270.1	𝜷.2.1
KT007584.1	𝜷.2.1
KP883033.1	𝜷.2.1
JF490396.1	𝜷.2.1
LC172284.1	𝜷.2.1
LC105192.1	𝜷.2.1
MN633024.1	𝜷.2.1
JX027937.1	𝜷.2.1
KT007635.1	𝜷.2.1
MN478508.1	𝜷.2.1
EF690709.1	𝜷.2.1
JF490192.1	𝜷.2.1
MT855028.1	𝜷.2.1
KC580531.1	𝜷.2.1
MK852649.1	𝜷.2.1
JF968589.1	𝜷.2.1
OR205744.1	𝜷.2.1
AY631050.1	𝜷.2.1
MG599535.1	𝜷.2.1
GU723341.1	𝜷.2.1
GU723356.1	𝜷.2.1
MK852659.1	𝜷.2.1
JN192074.1	𝜷.2.1
JN192056.1	𝜷.2.1
MT855402.1	𝜷.2.1
KC769354.1	𝜷.2.1
MT854390.1	𝜷.2.1
MG816524.1	𝜷.2.1
JX411969.1	𝜷.2.1
MZ094473.1	𝜷.2.1
KT007583.1	𝜷.2.1
GQ996837.1	𝜷.2.1
KU973948.1	𝜷.2.1
KM977728.1	𝜷.2.1
JN706207.1	𝜷.2.1
AB534521.1	𝜷.2.1
DQ674919.1	𝜷.2.1
KX363055.1	𝜷.2.1
KJ753065.1	𝜷.2.1
LC172353.1	𝜷.2.1
KJ751562.1	𝜷.2.1
AB081783.1	𝜷.2.1
MN633057.1	𝜷.2.1
HQ230024.1	𝜷.2.1
AF181864.1	𝜷.2.1
JX458964.1	𝜷.2.1
U26389.1	𝜷.2.1
LC105423.1	𝜷.2.1
LC066194.1	𝜷.2.1
JN192099.1	𝜷.2.1
MZ094899.1	𝜷.2.1
GU979204.1	𝜷.2.1
JN129114.1	𝜷.2.1
AB081789.1	𝜷.2.1
MK531585.1	𝜷.2.1
GU985239.1	𝜷.2.1
JQ069497.1	𝜷.2.1
MK829367.1	𝜷.2.1
MN632761.1	𝜷.2.1
KT695142.1	𝜷.2.1
LC172310.1	𝜷.2.1
OM920745.1	𝜷.2.1
MF161702.1	𝜷.2.1
LC018666.1	𝜷.2.1
GU723401.1	𝜷.2.1
KM043025.1	𝜷.2.1
D17717.1	𝜷.2.1
OR205730.1	𝜷.2.1
LC172318.1	𝜷.2.1
AF260950.1	𝜷.2.1
EF690749.1	𝜷.2.1
EF690727.1	𝜷.2.1
DQ674870.1	𝜷.2.1
MN632947.1	𝜷.2.1
JQ069461.1	𝜷.2.1
DQ674877.1	𝜷.2.1
AB796446.1	𝜷.2.1
KJ753220.1	𝜷.2.1
MZ066015.1	𝜷.2.1
KY634555.1	𝜷.2.1
JF490444.1	𝜷.2.1
KT007580.1	𝜷.2.1
KT695098.1	𝜷.2.1
AB585916.1	𝜷.2.1
HQ392352.1	𝜷.2.1
MK829353.1	𝜷.2.1
MN067052.1	𝜷.2.1
LC172450.1	𝜷.2.1
MK531581.1	𝜷.2.1
KY497556.1	𝜷.2.1
AB081800.1	𝜷.2.1
DQ674878.1	𝜷.2.1
GU358425.1	𝜷.2.1
MF168306.1	𝜷.2.1
EF690751.1	𝜷.2.1
EU708572.1	𝜷.2.1
KY657860.1	𝜷.2.1
GU723371.1	𝜷.2.1
HM773774.1	𝜷.2.1
AB081780.1	𝜷.2.1
LC464115.1	𝜷.2.1
JX458966.1	𝜷.2.1
KT007668.1	𝜷.2.1
HM773785.1	𝜷.2.1
AB585915.1	𝜷.2.1
JQ043272.1	𝜷.2.1
HQ392321.1	𝜷.2.1
HQ425259.1	𝜷.2.1
KT007752.1	𝜷.2.1
DQ674868.1	𝜷.2.1
GU392988.1	𝜷.2.1
DQ674923.1	𝜷.2.1
KT695109.1	𝜷.2.1
MK829347.1	𝜷.2.1
KP882153.1	𝜷.2.1
ON855113.1	𝜷.2.1
KY657864.1	𝜷.2.1
KC579860.1	𝜷.2.1
OR205684.1	𝜷.2.1
AB081778.1	𝜷.2.1
AB971574.1	𝜷.2.1
EF690762.1	𝜷.2.1
KT920722.1	𝜷.2.1
MT737569.1	𝜷.2.1
KJ752289.1	𝜷.2.1
AF480281.1	𝜷.2.1
MZ093884.1	𝜷.2.1
EF179191.1	𝜷.2.1
JQ043275.1	𝜷.2.1
LC172286.1	𝜷.2.1
JF968569.1	𝜷.2.1
KX362902.1	𝜷.2.1
GU723398.1	𝜷.2.1
MG181562.1	𝜷.2.1
LC172296.1	𝜷.2.1
GQ996845.1	𝜷.2.1
KT921129.1	𝜷.2.1
JN706233.1	𝜷.2.1
MT855248.1	𝜷.2.1
MF161771.1	𝜷.2.1
DQ674891.1	𝜷.2.1
DQ674865.1	𝜷.2.1
LC105055.1	𝜷.2.1
MK852646.1	𝜷.2.1
MF161801.1	𝜷.2.1
AB081781.1	𝜷.2.1
MW254127.1	𝜷.2.1
OR205700.1	𝜷.2.1
JN232040.1	𝜷.2.1
LC172357.1	𝜷.2.1
JN232047.1	𝜷.2.1
LC172350.1	𝜷.2.1
GQ996866.1	𝜷.2.1
ON855124.1	𝜷.2.1
MN632805.1	𝜷.2.1
GQ996833.1	𝜷.2.1
LC172395.1	𝜷.2.1
EF179192.1	𝜷.2.1
KJ753643.1	𝜷.2.1
DQ674913.1	𝜷.2.1
HQ650876.1	𝜷.2.1
HM773829.1	𝜷.2.1
KX638543.1	𝜷.2.1
AB081796.1	𝜷.2.1
DQ207389.1	𝜷.2.1
AB971571.1	𝜷.2.1
DQ492674.1	𝜷.2.1
FJ948851.1	𝜷.2.1
MG181716.1	𝜷.2.1
JN129123.1	𝜷.2.1
GQ996869.1	𝜷.2.1
MT737577.1	𝜷.2.1
KJ559198.1	𝜷.2.1
KY616907.1	𝜷.2.1
JN192059.1	𝜷.2.1
GU377195.1	𝜷.2.1
LC105245.1	𝜷.2.1
KP753217.1	𝜷.2.1
MT854863.1	𝜷.2.1
EF690752.1	𝜷.2.1
KP752554.1	𝜷.2.1
OR205693.1	𝜷.2.1
MZ095896.1	𝜷.2.1
JN849148.1	𝜷.2.1
KC579569.1	𝜷.2.1
MZ095852.1	𝜷.2.1
KT695153.1	𝜷.2.1
JN192126.1	𝜷.2.1
MZ066092.1	𝜷.2.1
GU723365.1	𝜷.2.1
JF490935.1	𝜷.2.1
KX638513.1	𝜷.2.1
JX458968.1	𝜷.2.1
MK531578.1	𝜷.2.1
JN706572.1	𝜷.2.1
GU358429.1	𝜷.2.1
OR205704.1	𝜷.2.1
KJ753846.1	𝜷.2.1
GQ996847.1	𝜷.2.1
DQ674882.1	𝜷.2.1
GU723329.1	𝜷.2.1
JQ069508.1	𝜷.2.1
GQ996855.1	𝜷.2.1
KJ627155.1	𝜷.2.1
LC172443.1	𝜷.2.1
ON184080.1	𝜷.2.1
JN258844.1	𝜷.2.1
MK050143.1	𝜷.2.1
LC018667.1	𝜷.2.1
KJ751828.1	𝜷.2.1
KP752758.1	𝜷.2.1
MK852641.1	𝜷.2.1
GU723359.1	𝜷.2.1
KT007613.1	𝜷.2.1
JN706571.1	𝜷.2.1
MZ095995.1	𝜷.2.1
OR205728.1	𝜷.2.1
JQ069490.1	𝜷.2.1
MK829338.1	𝜷.2.1
KP882736.1	𝜷.2.1
HQ392461.1	𝜷.2.1
MZ095218.1	𝜷.2.1
KM043047.1	𝜷.2.1
LC105033.1	𝜷.2.1
KT694999.1	𝜷.2.1
JQ087428.1	𝜷.2.1
KJ627121.1	𝜷.2.1
JF490896.1	𝜷.2.1
EF690711.1	𝜷.2.1
HQ650878.1	𝜷.2.1
JN706212.1	𝜷.2.1
KM008642.1	𝜷.2.1
LC668581.1	𝜷.2.1
FJ948841.1	𝜷.2.1
OM920791.1	𝜷.2.1
KF723264.1	𝜷.2.1
HQ392431.1	𝜷.2.1
KX638553.1	𝜷.2.1
KM043044.1	𝜷.2.1
GU723331.1	𝜷.2.1
KJ752042.1	𝜷.2.1
KX638521.1	𝜷.2.1
MT854401.1	𝜷.2.1
LC172419.1	𝜷.2.1
KT920931.1	𝜷.2.1
LC463264.1	𝜷.2.1
DQ512990.1	𝜷.2.1
D17721.1	𝜷.2.1
MG181287.1	𝜷.2.1
KM043048.1	𝜷.2.1
FJ948834.1	𝜷.2.1
KX362705.1	𝜷.2.1
AF181863.1	𝜷.2.1
MN067159.1	𝜷.2.1
U26377.1	𝜷.2.1
JX027927.1	𝜷.2.1
ON184076.1	𝜷.2.1
MZ094495.1	𝜷.2.1
KJ626790.1	𝜷.2.1
MZ093725.1	𝜷.2.1
KU360937.1	𝜷.2.1
JN001862.1	𝜷.2.1
KP882637.1	𝜷.2.1
GU392996.1	𝜷.2.1
KX638535.1	𝜷.2.1
LC434541.1	𝜷.2.1
KJ752020.1	𝜷.2.1
AF480283.1	𝜷.2.1
KC580170.1	𝜷.2.1
OR205675.1	𝜷.2.1
OR205710.1	𝜷.2.1
KJ412715.1	𝜷.2.1
JQ069503.1	𝜷.2.1
AF480286.1	𝜷.2.1
MT855138.1	𝜷.2.1
JQ069468.1	𝜷.2.1
KP752431.1	𝜷.2.1
KX362595.1	𝜷.2.1
MZ065652.1	𝜷.2.1
FJ948832.1	𝜷.2.1
HG917358.1	𝜷.2.1
KP735839.1	𝜷.2.1
JN706225.1	𝜷.2.1
FJ948845.1	𝜷.2.1
MN066940.1	𝜷.2.1
MT737576.1	𝜷.2.1
JF968559.1	𝜷.2.1
JX509940.1	𝜷.2.1
DQ674893.1	𝜷.2.1
GQ452914.2	𝜷.2.1
MK852643.1	𝜷.2.1
JN706205.1	𝜷.2.1
DQ512979.1	𝜷.2.1
KJ919845.1	𝜷.2.1
KT007737.1	𝜷.2.1
JF968582.1	𝜷.2.1
U26390.1	𝜷.2.1
KT007564.1	𝜷.2.1
GU598247.1	𝜷.2.1
MG181606.1	𝜷.2.1
KC579491.1	𝜷.2.1
HM773807.1	𝜷.2.1
JF490905.1	𝜷.2.1
EU839908.1	𝜷.2.1
LC581275.1	𝜷.2.1
MZ066136.1	𝜷.2.1
AF260933.1	𝜷.2.1
JF968558.1	𝜷.2.1
OR205714.1	𝜷.2.1
DQ236036.1	𝜷.2.1
AF183855.1	𝜷.2.1
LC172421.1	𝜷.2.1
MK852658.1	𝜷.2.1
HQ650875.1	𝜷.2.1
EF690733.1	𝜷.2.1
EU839907.1	𝜷.2.1
GU377204.1	𝜷.2.1
JQ069466.1	𝜷.2.1
MT854346.1	𝜷.2.1
DQ674926.1	𝜷.2.1
JN192073.1	𝜷.2.1
MZ094451.1	𝜷.2.1
AB796448.1	𝜷.2.1
GQ996834.1	𝜷.2.1
OR205725.1	𝜷.2.1
OR205689.1	𝜷.2.1
KP882175.1	𝜷.2.1
KX638545.1	𝜷.2.1
HQ392074.1	𝜷.2.1
AB971568.1	𝜷.2.1
AF043677.1	𝜷.2.1
JN706200.1	𝜷.2.1
MZ094594.1	𝜷.2.1
JN192135.1	𝜷.2.1
JQ710665.1	𝜷.2.1
MK043945.1	𝜷.2.1
AF183854.1	𝜷.2.1
GU979202.1	𝜷.2.1
D16326.1	𝜷.2.1
FJ948831.1	𝜷.2.1
JN192061.1	𝜷.2.1
GU723342.1	𝜷.2.1
LC172337.1	𝜷.2.1
KT007687.1	𝜷.2.1
KX009879.1	𝜷.2.1
JN232042.1	𝜷.2.1
HQ392294.1	𝜷.2.1
MZ095381.1	𝜷.2.1
MZ093692.1	𝜷.2.1
MF161630.1	𝜷.2.1
AF450291.1	𝜷.2.1
MT854907.1	𝜷.2.1
DQ015683.1	𝜷.2.1
JX411971.1	𝜷.2.1
JF968564.1	𝜷.2.1
HQ537514.2	𝜷.2.1
HM998611.1	𝜷.2.1
JN258928.1	𝜷.2.1
MK852663.1	𝜷.2.1
KM008636.1	𝜷.2.1
MN632991.1	𝜷.2.1
AB081791.1	𝜷.2.1
HQ425264.1	𝜷.2.1
DQ674906.1	𝜷.2.1
JQ043274.1	𝜷.2.1
GQ996859.1	𝜷.2.1
KJ919886.1	𝜷.2.1
KT007569.1	𝜷.2.1
MF161660.1	𝜷.2.1
OR205736.1	𝜷.2.1
U88717.1	𝜷.2.1
KJ627083.1	𝜷.2.1
AY631051.1	𝜷.2.1
MK829354.1	𝜷.2.1
JQ069481.1	𝜷.2.1
HQ738620.2	𝜷.2.1
GQ996849.1	𝜷.2.1
MZ096986.1	𝜷.2.1
EF690748.1	𝜷.2.1
HQ650872.1	𝜷.2.1
EF690747.1	𝜷.2.1
MZ095284.1	𝜷.2.1
DQ674876.1	𝜷.2.1
KX363044.1	𝜷.2.1
AB585922.1	𝜷.2.1
U26386.1	𝜷.2.1
LC172426.1	𝜷.2.1
EU839915.1	𝜷.2.1
DQ674925.1	𝜷.2.1
EF179190.1	𝜷.2.1
DQ674881.1	𝜷.2.1
LC172444.1	𝜷.2.1
FJ948843.1	𝜷.2.1
MG181232.1	𝜷.2.1
U26385.1	𝜷.2.1
DQ512982.1	𝜷.2.1
OR205682.1	𝜷.2.1
HQ425258.1	𝜷.2.1
JQ069488.1	𝜷.2.1
AF480282.1	𝜷.2.1
OR205705.1	𝜷.2.1
KY657857.1	𝜷.2.1
KY657862.1	𝜷.2.1
MG181408.1	𝜷.2.1
KX363099.1	𝜷.2.1
EU679392.1	𝜷.2.1
FJ948842.1	𝜷.2.1
OK245368.1	𝜷.2.1
KY657856.1	𝜷.2.1
DQ236039.1	𝜷.2.1
KY497480.1	𝜷.2.1
KJ753754.1	𝜷.2.1
GU723386.1	𝜷.2.1
GQ996836.1	𝜷.2.1
MZ094572.1	𝜷.2.1
LC172306.1	𝜷.2.1
EF690721.1	𝜷.2.1
GU723361.1	𝜷.2.1
MK829351.1	𝜷.2.1
MK829368.1	𝜷.2.1
JX458957.1	𝜷.2.1
KX356112.1	𝜷.2.1
KC769398.1	𝜷.2.1
KC579514.1	𝜷.2.1
MZ095874.1	𝜷.2.1
EU839913.1	𝜷.2.1
FJ435208.3	𝜷.2.1
AB081793.1	𝜷.2.1
GQ452913.2	𝜷.2.1
KX638520.1	𝜷.2.1
MZ096017.1	𝜷.2.1
OP924560.1	𝜷.2.1
OR205740.1	𝜷.2.1
GU358438.1	𝜷.2.1
JF490762.1	𝜷.2.1
JN706252.1	𝜷.2.1
KT920810.1	𝜷.2.1
KM660407.1	𝜷.2.1
LC434532.1	𝜷.2.1
JN849152.1	𝜷.2.1
MG652314.1	𝜷.2.1
MZ094440.1	𝜷.2.1
KP752587.1	𝜷.2.1
DQ236043.1	𝜷.2.1
KP753262.1	𝜷.2.1
MN577143.1	𝜷.2.1
DQ674887.1	𝜷.2.1
MT854698.1	𝜷.2.1
JN192069.1	𝜷.2.1
MG181265.1	𝜷.2.1
KP882648.1	𝜷.2.1
KJ626767.1	𝜷.2.1
MT737558.1	𝜷.2.1
MT854896.1	𝜷.2.1
KP882549.1	𝜷.2.1
KY634765.1	𝜷.2.1
U26384.1	𝜷.2.1
KC769486.1	𝜷.2.1
KX363163.1	𝜷.2.1
HQ392122.1	𝜷.2.1
LC434538.1	𝜷.2.1
OR205698.1	𝜷.2.1
JN192092.1	𝜷.2.1
KC579874.1	𝜷.2.1
GU288622.1	𝜷.2.1
MG181375.1	𝜷.2.1
MZ096417.1	𝜷.2.1
ON960256.1	𝜷.2.1
OR205678.1	𝜷.2.1
KT007705.1	𝜷.2.1
KF018782.2	𝜷.2.1
HQ425263.1	𝜷.2.1
EF199714.1	𝜷.2.1
MT737565.1	𝜷.2.1
LC172359.1	𝜷.2.1
JF968560.1	𝜷.2.1
JN232068.1	𝜷.2.1
JN258791.1	𝜷.2.1
KT369135.1	𝜷.2.1
MN632783.1	𝜷.2.1
KY634544.1	𝜷.2.1
DQ674885.1	𝜷.2.1
MK560891.1	𝜷.2.1
HQ392337.1	𝜷.2.1
MK829381.1	𝜷.2.1
KX362928.1	𝜷.2.1
JN258338.1	𝜷.2.1
DQ674897.1	𝜷.2.1
GU723382.1	𝜷.2.1
MK829385.1	𝜷.2.1
JN232073.1	𝜷.2.1
MZ095359.1	𝜷.2.1
MZ095918.1	𝜷.2.1
MN552071.1	𝜷.2.1
MK829378.1	𝜷.2.1
MK852642.1	𝜷.2.1
DQ674884.1	𝜷.2.1
MZ095141.1	𝜷.2.1
KX638541.1	𝜷.2.1
JN232056.1	𝜷.2.1
KJ626981.1	𝜷.2.1
OM920777.1	𝜷.2.1
KC580485.1	𝜷.2.1
DQ674908.1	𝜷.2.1
LC541522.1	𝜷.2.1
LC465246.1	𝜷.2.1
MG181430.1	𝜷.2.1
MT855017.1	𝜷.2.1
JF490385.1	𝜷.2.1
MN561345.1	𝜷.2.1
KY657866.1	𝜷.2.1
MN552051.1	𝜷.2.1
JN192087.1	𝜷.2.1
KJ752031.1	𝜷.2.1
OR205745.1	𝜷.2.1
DQ674903.1	𝜷.2.1
EF179194.1	𝜷.2.1
OR205739.1	𝜷.2.1
KT007586.1	𝜷.2.1
MH712901.1	𝜷.2.1
OR205674.1	𝜷.2.1
DQ512984.1	𝜷.2.1
JN706214.1	𝜷.2.1
MK050127.1	𝜷.2.1
MK531584.1	𝜷.2.1
DQ015682.1	𝜷.2.1
JX027655.1	𝜷.2.1
KJ752974.1	𝜷.2.1
EF690732.1	𝜷.2.1
D16319.1	𝜷.2.1
MZ095009.1	𝜷.2.1
JN232070.1	𝜷.2.1
AB534520.1	𝜷.2.1
JN706236.1	𝜷.2.1
AF043679.1	𝜷.2.1
U26378.1	𝜷.2.1
MH712904.1	𝜷.2.1
HM467954.1	𝜷.2.1
KJ753163.1	𝜷.2.1
EF179186.1	𝜷.2.1
JF490847.1	𝜷.2.1
LC311226.1	𝜷.2.1
GU377136.3	𝜷.2.1
JX458961.1	𝜷.2.1
GU723378.1	𝜷.2.1
EF690715.1	𝜷.2.1
U26365.1	𝜷.2.2
OK872257.1	𝜷.2.2
GU723334.1	𝜷.2.2
KC579897.1	𝜷.2.2
JF693078.1	𝜷.2.2
VP7	𝜷.2.2
GU723335.1	𝜷.2.2
GU723369.1	𝜷.2.2
KC579988.1	𝜷.2.2
GU723373.1	𝜷.2.2
AB222788.1	𝜷.2.2
GU723350.1	𝜷.2.2
LC384335.1	𝜷.2.2
KT694988.1	𝜷.2.2
MN478531.1	𝜷.2.2
KU861384.1	𝜷.2.2
GU723339.1	𝜷.2.2
D16343.1	𝜷.2.2
U26362.1	𝜷.2.2
MT796886.1	𝜷.2.2
MN632903.1	𝜷.2.2
ON206962.1	𝜷.2.2
KT694944.1	𝜷.2.2
GU723367.1	𝜷.2.2
U26376.1	𝜷.2.2
GU723368.1	𝜷.2.2
LC438384.1	𝜷.2.2
D16323.1	𝜷.2.2
JX406755.1	𝜷.2.2
KX931934.1	𝜷.2.2
EF672574.1	𝜷.2.2
GU723328.1	𝜷.2.2
U26363.1	𝜷.2.2
KT694966.1	𝜷.2.2
KT694955.1	𝜷.2.2
GU723370.1	𝜷.2.2
KC579547.1	𝜷.2.2
KC579696.1	𝜷.2.2
GU723357.1	𝜷.2.2
KC580439.1	𝜷.2.2
D16344.1	𝜷.2.2
KC579685.1	𝜷.2.2
AB118022.1	𝜷.2.2
GU565057.1	𝜷.2.2
KU861395.1	𝜷.2.2
U26374.1	𝜷.2.2
GU723336.1	𝜷.2.2
HQ846862.1	𝜷.2.2
GQ433993.1	𝜷.2.3
MT382028.1	𝜷.2.4
MG181727.1	𝜷.2.5
AF043683.1	𝜷.2.6
Y08033.1	𝜷.2.7
Y08034.1	𝜷.2.7
JN635559.1	𝜷.2.7
JN651867.1	𝜷.2.7
MN632728.1	𝜷.2.8
JF490214.1	𝜷.2.9
EF197983.1	𝜷.2.10
KT007699.1	𝜷.2.11
KM008640.1	𝜷.2.12
ON500512.1	𝜷.2.13
D16317.1	𝜷.2.14
KC769387.1	𝜷.2.15
KC769343.1	𝜷.2.16
MT382026.1	𝜷.2.17
Y18786.2	𝜷.2.18
FJ598041.1	𝜷.3.1
KJ559069.1	𝜷.3.1
HM773862.1	𝜷.3.1
KF006890.2	𝜷.3.1
KJ870905.1	𝜷.3.1
JX470508.1	𝜷.3.1
MN551959.1	𝜷.3.1
AB039034.1	𝜷.3.1
DQ015687.1	𝜷.3.1
FJ598038.1	𝜷.3.1
GU565090.1	𝜷.3.1
MN066816.1	𝜷.3.1
OP950166.1	𝜷.3.1
DQ015685.1	𝜷.3.1
KJ559254.1	𝜷.3.1
LC482503.1	𝜷.3.1
